[31-01-2017 10-09-57] INFO: Initialized video subsystem
[31-01-2017 10-23-04] INFO: Loaded texture
[31-01-2017 10-23-04] INFO: Loaded texture
[31-01-2017 10-23-11] DEBUG: Mouse Moved: 78, 1
[31-01-2017 10-23-11] DEBUG: Mouse Moved: 77, 5
[31-01-2017 10-23-11] DEBUG: Mouse Moved: 75, 11
[31-01-2017 10-23-11] DEBUG: Mouse Moved: 74, 13
[31-01-2017 10-23-11] DEBUG: Mouse Moved: 73, 19
[31-01-2017 10-23-11] DEBUG: Mouse Moved: 72, 23
[31-01-2017 10-23-11] DEBUG: Mouse Moved: 71, 27
[31-01-2017 10-23-11] DEBUG: Mouse Moved: 71, 31
[31-01-2017 10-23-11] DEBUG: Mouse Moved: 70, 35
[31-01-2017 10-23-11] DEBUG: Mouse Moved: 70, 37
[31-01-2017 10-23-11] DEBUG: Mouse Moved: 70, 39
[31-01-2017 10-23-11] DEBUG: Mouse Moved: 70, 40
[31-01-2017 10-23-11] DEBUG: Mouse Moved: 69, 41
[31-01-2017 10-23-11] DEBUG: Mouse Moved: 69, 43
[31-01-2017 10-23-11] DEBUG: Mouse Moved: 69, 44
[31-01-2017 10-23-11] DEBUG: Mouse Moved: 68, 45
[31-01-2017 10-23-11] DEBUG: Mouse Moved: 68, 46
[31-01-2017 10-23-11] DEBUG: Mouse Moved: 68, 47
[31-01-2017 10-23-11] DEBUG: Mouse Moved: 68, 48
[31-01-2017 10-23-12] DEBUG: Mouse Moved: 68, 49
[31-01-2017 10-23-12] DEBUG: Mouse Moved: 71, 49
[31-01-2017 10-23-12] DEBUG: Mouse Moved: 72, 48
[31-01-2017 10-23-12] DEBUG: Mouse Moved: 73, 48
[31-01-2017 10-23-12] DEBUG: Mouse Moved: 74, 48
[31-01-2017 10-23-12] DEBUG: Mouse Moved: 76, 46
[31-01-2017 10-23-12] DEBUG: Mouse Moved: 77, 46
[31-01-2017 10-23-12] DEBUG: Mouse Moved: 77, 45
[31-01-2017 10-23-12] DEBUG: Mouse Moved: 78, 45
[31-01-2017 10-23-13] DEBUG: Mouse Moved: 84, 45
[31-01-2017 10-23-13] DEBUG: Mouse Moved: 96, 45
[31-01-2017 10-23-13] DEBUG: Mouse Moved: 105, 45
[31-01-2017 10-23-13] DEBUG: Mouse Moved: 117, 45
[31-01-2017 10-23-13] DEBUG: Mouse Moved: 126, 45
[31-01-2017 10-23-13] DEBUG: Mouse Moved: 133, 45
[31-01-2017 10-23-13] DEBUG: Mouse Moved: 141, 47
[31-01-2017 10-23-13] DEBUG: Mouse Moved: 146, 48
[31-01-2017 10-23-13] DEBUG: Mouse Moved: 150, 51
[31-01-2017 10-23-13] DEBUG: Mouse Moved: 152, 51
[31-01-2017 10-23-13] DEBUG: Mouse Moved: 153, 52
[31-01-2017 10-23-13] DEBUG: Mouse Moved: 154, 52
[31-01-2017 10-23-13] DEBUG: Mouse Moved: 156, 54
[31-01-2017 10-23-13] DEBUG: Mouse Moved: 156, 56
[31-01-2017 10-23-13] DEBUG: Mouse Moved: 156, 59
[31-01-2017 10-23-13] DEBUG: Mouse Moved: 156, 61
[31-01-2017 10-23-13] DEBUG: Mouse Moved: 156, 64
[31-01-2017 10-23-13] DEBUG: Mouse Moved: 156, 67
[31-01-2017 10-23-13] DEBUG: Mouse Moved: 156, 68
[31-01-2017 10-23-13] DEBUG: Mouse Moved: 156, 69
[31-01-2017 10-23-13] DEBUG: Mouse Moved: 156, 71
[31-01-2017 10-23-13] DEBUG: Mouse Moved: 156, 72
[31-01-2017 10-23-13] DEBUG: Mouse Moved: 156, 74
[31-01-2017 10-23-13] DEBUG: Mouse Moved: 156, 76
[31-01-2017 10-23-13] DEBUG: Mouse Moved: 155, 77
[31-01-2017 10-23-13] DEBUG: Mouse Moved: 154, 78
[31-01-2017 10-23-13] DEBUG: Mouse Moved: 153, 79
[31-01-2017 10-23-13] DEBUG: Mouse Moved: 153, 80
[31-01-2017 10-23-13] DEBUG: Mouse Moved: 150, 83
[31-01-2017 10-23-13] DEBUG: Mouse Moved: 148, 84
[31-01-2017 10-23-13] DEBUG: Mouse Moved: 146, 86
[31-01-2017 10-23-13] DEBUG: Mouse Moved: 142, 88
[31-01-2017 10-23-13] DEBUG: Mouse Moved: 141, 89
[31-01-2017 10-23-13] DEBUG: Mouse Moved: 138, 91
[31-01-2017 10-23-13] DEBUG: Mouse Moved: 136, 93
[31-01-2017 10-23-13] DEBUG: Mouse Moved: 133, 95
[31-01-2017 10-23-13] DEBUG: Mouse Moved: 128, 100
[31-01-2017 10-23-13] DEBUG: Mouse Moved: 124, 103
[31-01-2017 10-23-13] DEBUG: Mouse Moved: 121, 105
[31-01-2017 10-23-14] DEBUG: Mouse Moved: 117, 108
[31-01-2017 10-23-14] DEBUG: Mouse Moved: 115, 110
[31-01-2017 10-23-14] DEBUG: Mouse Moved: 113, 113
[31-01-2017 10-23-14] DEBUG: Mouse Moved: 112, 115
[31-01-2017 10-23-14] DEBUG: Mouse Moved: 108, 121
[31-01-2017 10-23-14] DEBUG: Mouse Moved: 104, 127
[31-01-2017 10-23-14] DEBUG: Mouse Moved: 102, 130
[31-01-2017 10-23-14] DEBUG: Mouse Moved: 100, 134
[31-01-2017 10-23-14] DEBUG: Mouse Moved: 97, 138
[31-01-2017 10-23-14] DEBUG: Mouse Moved: 96, 142
[31-01-2017 10-23-14] DEBUG: Mouse Moved: 93, 146
[31-01-2017 10-23-14] DEBUG: Mouse Moved: 92, 148
[31-01-2017 10-23-14] DEBUG: Mouse Moved: 91, 153
[31-01-2017 10-23-14] DEBUG: Mouse Moved: 89, 156
[31-01-2017 10-23-14] DEBUG: Mouse Moved: 87, 161
[31-01-2017 10-23-14] DEBUG: Mouse Moved: 86, 164
[31-01-2017 10-23-14] DEBUG: Mouse Moved: 86, 165
[31-01-2017 10-23-14] DEBUG: Mouse Moved: 86, 170
[31-01-2017 10-23-14] DEBUG: Mouse Moved: 86, 174
[31-01-2017 10-23-14] DEBUG: Mouse Moved: 86, 179
[31-01-2017 10-23-14] DEBUG: Mouse Moved: 86, 183
[31-01-2017 10-23-14] DEBUG: Mouse Moved: 86, 188
[31-01-2017 10-23-14] DEBUG: Mouse Moved: 88, 192
[31-01-2017 10-23-14] DEBUG: Mouse Moved: 90, 196
[31-01-2017 10-23-14] DEBUG: Mouse Moved: 94, 201
[31-01-2017 10-23-14] DEBUG: Mouse Moved: 95, 205
[31-01-2017 10-23-14] DEBUG: Mouse Moved: 99, 211
[31-01-2017 10-23-14] DEBUG: Mouse Moved: 103, 216
[31-01-2017 10-23-14] DEBUG: Mouse Moved: 110, 225
[31-01-2017 10-23-14] DEBUG: Mouse Moved: 115, 230
[31-01-2017 10-23-14] DEBUG: Mouse Moved: 119, 234
[31-01-2017 10-23-14] DEBUG: Mouse Moved: 124, 238
[31-01-2017 10-23-14] DEBUG: Mouse Moved: 128, 240
[31-01-2017 10-23-14] DEBUG: Mouse Moved: 134, 243
[31-01-2017 10-23-14] DEBUG: Mouse Moved: 138, 246
[31-01-2017 10-23-14] DEBUG: Mouse Moved: 145, 247
[31-01-2017 10-23-14] DEBUG: Mouse Moved: 149, 247
[31-01-2017 10-23-14] DEBUG: Mouse Moved: 153, 248
[31-01-2017 10-23-14] DEBUG: Mouse Moved: 158, 248
[31-01-2017 10-23-14] DEBUG: Mouse Moved: 163, 248
[31-01-2017 10-23-14] DEBUG: Mouse Moved: 168, 248
